"","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Property_Area","Loan_Status","Credit_History_f"
"LP001002","Male","No","0","Graduate","No",0.568748284723435,0,0.564610835797276,0.72972972972973,"Urban","Y","1"
"LP001003","Male","Yes","1","Graduate","No",0.442404131633442,0.268088888888889,0.488957370313302,0.72972972972973,"Rural","N","1"
"LP001005","Male","Yes","0","Graduate","Yes",0.284424041316334,0,0.234206471494607,0.72972972972973,"Urban","Y","1"
"LP001006","Male","Yes","0","Not Graduate","No",0.242808313165839,0.4192,0.456086286594761,0.72972972972973,"Urban","Y","1"
"LP001008","Male","No","0","Graduate","No",0.583817769017739,0,0.542372881355932,0.72972972972973,"Urban","Y","1"
"LP001011","Male","Yes","2","Graduate","Yes",0.525635587934433,0.745955555555556,1,0.72972972972973,"Urban","Y","1"
"LP001013","Male","Yes","0","Not Graduate","No",0.217858835857389,0.269511111111111,0.353364149974319,0.72972972972973,"Urban","Y","1"
"LP001014","Male","Yes","3+","Graduate","No",0.288016766048751,0.445155555555556,0.612223934257833,0.72972972972973,"Semiurban","N","0"
"LP001018","Male","Yes","2","Graduate","No",0.384820738005539,0.271288888888889,0.653312788906009,0.72972972972973,"Urban","Y","1"
"LP001020","Male","Yes","1","Graduate","No",1,1,1,0.72972972972973,"Semiurban","N","1"
"LP001024","Male","Yes","2","Graduate","No",0.304383623163095,0.124444444444444,0.250642013353878,0.72972972972973,"Urban","Y","1"
"LP001027","Male","Yes","2","Graduate","No",0.234525086699434,0.327111111111111,0.410888546481767,0.72972972972973,"Urban","Y","1"
"LP001028","Male","Yes","2","Graduate","No",0.291709288690402,1,0.784797123780175,0.72972972972973,"Urban","Y","1"
"LP001029","Male","No","0","Graduate","No",0.169955839425164,0.504888888888889,0.431432973805855,0.72972972972973,"Rural","N","1"
"LP001030","Male","Yes","2","Graduate","No",0.114667797709638,0.193066666666667,0.0328710837185413,0.189189189189189,"Urban","Y","1"
"LP001032","Male","No","0","Graduate","No",0.479029964322247,0,0.47663071391885,0.72972972972973,"Urban","Y","1"
"LP001036","Female","No","0","Graduate","No",0.335320975025573,0,0.275295326142784,0.72972972972973,"Urban","N","0"
"LP001038","Male","Yes","0","Not Graduate","No",0.472742696040518,0,0.509501797637391,0.72972972972973,"Rural","N","1"
"LP001041","Male","Yes","0","Graduate","No",0.244504877622814,0.622222222222222,0.435541859270673,0.689189189189189,"Urban","Y","1"
"LP001043","Male","Yes","0","Not Graduate","No",0.74948229834585,0,0.390344119157678,0.72972972972973,"Urban","N","0"
"LP001046","Male","Yes","1","Graduate","No",0.579326863102218,1,1,0.72972972972973,"Urban","Y","1"
"LP001047","Male","Yes","0","Not Graduate","No",0.244504877622814,0.339733333333333,0.43965074473549,0.72972972972973,"Semiurban","N","0"
"LP001050","Male","Yes","2","Not Graduate","No",0.320850278186672,0.3408,0.42321520287622,0.72972972972973,"Rural","N","0"
"LP001066","Male","Yes","0","Graduate","Yes",0.939098325890073,0,0.747817154596816,0.72972972972973,"Semiurban","Y","1"
"LP001068","Male","Yes","0","Graduate","No",0.26436466156034,0.400533333333333,0.464304057524397,0.72972972972973,"Semiurban","Y","1"
"LP001073","Male","Yes","2","Not Graduate","No",0.406776278036975,0.184888888888889,0.414997431946585,0.72972972972973,"Urban","Y","1"
"LP001086","Male","No","0","Not Graduate","No",0.128938898730072,0,0.106831022085259,0.72972972972973,"Urban","N","1"
"LP001087","Female","No","2","Graduate","No",0.359272473241686,0.370311111111111,0.456086286594761,0.72972972972973,"Semiurban","Y","1"
"LP001095","Male","No","0","Graduate","No",0.301090292158379,0,0.267077555213148,0.72972972972973,"Urban","N","1"
"LP001097","Male","No","1","Graduate","Yes",0.453282103739927,0,0.398561890087314,0.72972972972973,"Rural","N","1"
"LP001098","Male","Yes","0","Graduate","No",0.334322995933235,0.296355555555556,0.431432973805855,0.72972972972973,"Semiurban","Y","1"
"LP001100","Male","No","3+","Graduate","No",1,0.533333333333333,1,0.72972972972973,"Rural","N","1"
"LP001106","Male","Yes","0","Graduate","No",0.212070557121828,0.367466666666667,0.564610835797276,0.72972972972973,"Urban","Y","1"
"LP001109","Male","Yes","0","Graduate","No",0.167460891694319,0.236444444444444,0.373908577298408,0.689189189189189,"Urban","N","0"
"LP001112","Female","Yes","0","Graduate","No",0.35098924677528,0.259377777777778,0.554699537750385,0.72972972972973,"Semiurban","Y","1"
"LP001114","Male","No","0","Graduate","No",0.400788403482947,1,0.719054956343092,0.72972972972973,"Urban","Y","1"
"LP001116","Male","No","0","Not Graduate","No",0.359072877423218,0.296533333333333,0.414997431946585,0.72972972972973,"Semiurban","Y","1"
"LP001119","Male","No","0","Graduate","No",0.344302786856615,0,0.291730868002054,0.72972972972973,"Urban","N","1"
"LP001120","Male","No","0","Graduate","No",0.164666550235773,0.215644444444444,0.156137647663071,0.72972972972973,"Urban","Y","1"
"LP001131","Male","Yes","0","Graduate","No",0.378333873905342,0.415288888888889,0.513610683102208,0.72972972972973,"Semiurban","Y","1"
"LP001136","Male","Yes","0","Not Graduate","Yes",0.453581497467628,0,0.357473035439137,0.689189189189189,"Urban","Y","1"
"LP001137","Female","No","0","Graduate","No",0.325341184102193,0,0.324601951720596,0.689189189189189,"Urban","Y","1"
"LP001138","Male","Yes","1","Graduate","No",0.548788702876675,0,0.143810991268618,0.72972972972973,"Urban","Y","1"
"LP001144","Male","Yes","0","Graduate","No",0.565953943264889,0,0.554699537750385,0.72972972972973,"Urban","Y","1"
"LP001146","Female","Yes","0","Graduate","No",0.248995783538335,0.611555555555556,0.456086286594761,0.72972972972973,"Urban","N","0"
"LP001151","Female","No","0","Graduate","No",0.384221950550136,0.404444444444444,0.554699537750385,0.72972972972973,"Semiurban","Y","1"
"LP001155","Female","Yes","0","Not Graduate","No",0.177440682617699,0.292266666666667,0.373908577298408,0.72972972972973,"Semiurban","Y","1"
"LP001157","Female","No","0","Graduate","No",0.293006661510441,0,0.456086286594761,0.72972972972973,"Semiurban","Y","1"
"LP001164","Female","No","0","Graduate","No",0.40717546967391,0,0.42321520287622,0.72972972972973,"Semiurban","N","1"
"LP001179","Male","Yes","2","Graduate","No",0.445697462638158,0,0.513610683102208,0.72972972972973,"Urban","N","1"
"LP001186","Female","Yes","1","Graduate","Yes",1,0,1,0.72972972972973,"Urban","N","0"
"LP001194","Male","Yes","2","Graduate","No",0.255283051820064,0.207466666666667,0.361581920903955,0.72972972972973,"Semiurban","Y","1"
"LP001195","Male","Yes","0","Graduate","No",0.197799456101395,0.282844444444444,0.357473035439137,0.72972972972973,"Semiurban","Y","1"
"LP001197","Male","Yes","0","Graduate","No",0.320950076095906,0.391111111111111,0.517719568567026,0.72972972972973,"Rural","N","1"
"LP001198","Male","Yes","1","Graduate","No",0.791397420224046,0.4,0.702619414483821,0.72972972972973,"Urban","Y","1"
"LP001199","Male","Yes","2","Not Graduate","No",0.320051894912802,0.508266666666667,0.554699537750385,0.72972972972973,"Urban","Y","1"
"LP001205","Male","Yes","0","Graduate","No",0.234525086699434,0.674844444444444,0.456086286594761,0.72972972972973,"Urban","Y","1"
"LP001206","Male","Yes","3+","Graduate","No",0.287318180684115,0,0.36979969183359,0.72972972972973,"Urban","Y","1"
"LP001207","Male","Yes","0","Not Graduate","Yes",0.245403058805918,0.613155555555556,0.640986132511556,0.324324324324324,"Rural","N","0"
"LP001213","Male","Yes","1","Graduate","No",0.478530974776078,0,0.564610835797276,0.72972972972973,"Rural","N","0"
"LP001222","Female","No","0","Graduate","No",0.400788403482947,0,0.43965074473549,0.72972972972973,"Semiurban","N","0"
"LP001225","Male","Yes","0","Graduate","No",0.556473141887677,0.816888888888889,1,0.72972972972973,"Semiurban","N","1"
"LP001228","Male","No","0","Not Graduate","No",0.304383623163095,0.400711111111111,0.480739599383667,0.324324324324324,"Urban","N","0"
"LP001233","Male","Yes","1","Graduate","No",1,0,1,0.72972972972973,"Urban","Y","1"
"LP001238","Male","Yes","3+","Not Graduate","Yes",0.693595469174921,0,0.47663071391885,0.0540540540540541,"Urban","Y","1"
"LP001241","Female","No","0","Graduate","No",0.414161323320276,0,0.521828454031844,0.72972972972973,"Semiurban","N","0"
"LP001243","Male","Yes","0","Graduate","No",0.305182006436965,0.545066666666667,0.66974833076528,0.72972972972973,"Urban","Y","1"
"LP001245","Male","Yes","2","Not Graduate","Yes",0.172151393428308,0.333333333333333,0.361581920903955,0.72972972972973,"Semiurban","Y","1"
"LP001248","Male","No","0","Graduate","No",0.334322995933235,0,0.295839753466872,0.594594594594595,"Semiurban","Y","1"
"LP001250","Male","Yes","3+","Not Graduate","No",0.459569372021656,0,0.353364149974319,0.689189189189189,"Semiurban","N","0"
"LP001253","Male","Yes","3+","Graduate","Yes",0.510566103640129,0.315377777777778,0.731381612737545,0.72972972972973,"Semiurban","Y","1"
"LP001255","Male","No","0","Graduate","No",0.359272473241686,0,0.427324088341037,1,"Urban","N","1"
"LP001256","Male","No","0","Graduate","No",0.359272473241686,0.844444444444444,0.686183872624551,0.72972972972973,"Urban","N","1"
"LP001259","Male","Yes","1","Graduate","Yes",0.0848282228487313,0.537244444444444,0.414997431946585,0.72972972972973,"Urban","N","1"
"LP001263","Male","Yes","3+","Graduate","No",0.301090292158379,0.711111111111111,0.702619414483821,0.594594594594595,"Semiurban","N","0"
"LP001265","Female","No","0","Graduate","No",0.368853072528131,0,0.419106317411402,0.72972972972973,"Semiurban","Y","1"
"LP001266","Male","Yes","1","Graduate","Yes",0.224046306229884,0,0.564610835797276,0.72972972972973,"Semiurban","Y","1"
"LP001267","Female","Yes","2","Graduate","No",0.122551832539108,0.3344,0.649203903441192,0.72972972972973,"Urban","N","1"
"LP001275","Male","Yes","1","Graduate","No",0.38302437563933,0,0.168464304057524,0.459459459459459,"Urban","Y","1"
"LP001279","Male","No","0","Graduate","No",0.221152166862104,0.449955555555556,0.521828454031844,0.72972972972973,"Semiurban","Y","1"
"LP001282","Male","Yes","0","Graduate","No",0.234525086699434,0.376533333333333,0.390344119157678,0.72972972972973,"Semiurban","Y","1"
"LP001289","Male","No","0","Graduate","No",0.839899204111674,0,0.825885978428351,0.72972972972973,"Urban","Y","1"
"LP001310","Male","Yes","0","Graduate","No",0.55337940670143,0.7408,0.682074987159733,0.72972972972973,"Semiurban","Y","1"
"LP001316","Male","Yes","0","Graduate","No",0.280232529128515,0.515555555555556,0.501284026707756,0.72972972972973,"Semiurban","Y","1"
"LP001318","Male","Yes","2","Graduate","No",0.60876724632619,1,0.735490498202363,0.324324324324324,"Semiurban","Y","1"
"LP001319","Male","Yes","2","Not Graduate","No",0.311668870537162,0.323555555555556,0.295839753466872,0.72972972972973,"Urban","Y","1"
"LP001322","Male","No","0","Graduate","No",0.397495072478232,0,0.464304057524397,0.72972972972973,"Semiurban","Y","1"
"LP001325","Male","No","0","Not Graduate","No",0.346298745041291,0,0.0657421674370827,0.189189189189189,"Semiurban","Y","1"
"LP001327","Female","Yes","0","Graduate","No",0.232928320151693,0.409244444444444,0.525937339496662,0.72972972972973,"Semiurban","Y","1"
"LP001333","Male","Yes","0","Graduate","No",0.182330780170155,0.177244444444444,0.168464304057524,0.72972972972973,"Semiurban","Y","1"
"LP001334","Male","Yes","0","Not Graduate","No",0.402983957486091,0,0.435541859270673,0.324324324324324,"Semiurban","Y","1"
"LP001343","Male","Yes","0","Graduate","No",0.160574835957187,0.629511111111111,0.501284026707756,0.72972972972973,"Semiurban","Y","1"
"LP001345","Male","Yes","2","Not Graduate","No",0.412963748409471,0.580088888888889,0.509501797637391,0.324324324324324,"Urban","Y","1"
"LP001349","Male","No","0","Graduate","No",0.468351588034231,0.676622222222222,0.583461736004109,0.72972972972973,"Semiurban","Y","1"
"LP001350","Male","Yes","0","Graduate","No",1,0,0.564610835797276,0.72972972972973,"Urban","Y","1"
"LP001356","Male","Yes","0","Graduate","No",0.449290187370575,0.636977777777778,0.564610835797276,0.72972972972973,"Semiurban","Y","1"
"LP001357","Male","Yes","0","Graduate","No",0.365859135251116,0.134044444444444,0.620441705187468,0.72972972972973,"Urban","Y","1"
"LP001367","Male","Yes","1","Graduate","No",0.289613532596492,0.183111111111111,0.373908577298408,0.72972972972973,"Urban","Y","1"
"LP001369","Male","Yes","2","Graduate","No",1,0.200177777777778,0.887519260400616,0.72972972972973,"Urban","Y","1"
"LP001370","Male","No","0","Not Graduate","No",0.716848382026397,0,0.456086286594761,0.72972972972973,"Rural","N","1"
"LP001379","Male","Yes","2","Graduate","No",0.364262368703376,0.64,0.850539291217257,0.72972972972973,"Urban","N","0"
"LP001384","Male","Yes","3+","Not Graduate","No",0.191711783638133,0.134044444444444,0.349255264509502,1,"Semiurban","Y","1"
"LP001385","Male","No","0","Graduate","No",0.515555999101819,0,0.521828454031844,0.72972972972973,"Urban","Y","1"
"LP001387","Female","Yes","0","Graduate","No",0.277338389760734,0.414755555555556,0.534155110426297,0.72972972972973,"Semiurban","Y","1"
"LP001391","Male","Yes","0","Not Graduate","No",0.341508445398069,0.731377777777778,0.587570621468927,0.689189189189189,"Rural","N","0"
"LP001392","Female","No","1","Graduate","Yes",0.728624535315985,0,0.564610835797276,0.72972972972973,"Semiurban","Y","1"
"LP001398","Male","No","0","Graduate","No",0.489009755245628,0,0.447868515665126,0.72972972972973,"Semiurban","Y","1"
"LP001401","Male","Yes","1","Graduate","No",1,0,0.72316384180791,0.324324324324324,"Rural","Y","1"
"LP001404","Female","Yes","0","Graduate","No",0.301090292158379,0.405866666666667,0.595788392398562,0.72972972972973,"Semiurban","Y","1"
"LP001421","Male","Yes","0","Graduate","No",0.540705072228737,0.3808,0.682074987159733,0.72972972972973,"Rural","N","1"
"LP001422","Female","No","0","Graduate","No",1,0,1,0.72972972972973,"Urban","Y","1"
"LP001426","Male","Yes","0","Graduate","No",0.550585065242883,0.474133333333333,0.702619414483821,0.72972972972973,"Rural","Y","1"
"LP001430","Female","No","0","Graduate","No",0.400788403482947,0,0.143810991268618,0.72972972972973,"Semiurban","Y","1"
"LP001431","Female","No","0","Graduate","No",0.198298445647564,1,0.525937339496662,0.72972972972973,"Semiurban","Y","0"
"LP001432","Male","Yes","2","Graduate","No",0.280132731219281,0,0.295839753466872,0.72972972972973,"Semiurban","Y","1"
"LP001439","Male","Yes","0","Not Graduate","No",0.414161323320276,0.358044444444444,0.760143810991269,0.72972972972973,"Rural","Y","1"
"LP001448","Male","Yes","3+","Graduate","No",1,0,1,0.72972972972973,"Rural","Y","1"
"LP001449","Male","No","0","Graduate","No",0.370749232803573,0.291555555555556,0.564610835797276,0.72972972972973,"Rural","Y","1"
"LP001451","Male","Yes","1","Graduate","Yes",1,0.684444444444444,0.620441705187468,0.324324324324324,"Urban","N","0"
"LP001473","Male","No","0","Graduate","No",0.186023302811806,0.342933333333333,0.267077555213148,0.72972972972973,"Urban","Y","1"
"LP001478","Male","No","0","Graduate","No",0.256281030912402,0,0.250642013353878,0.72972972972973,"Semiurban","Y","1"
"LP001482","Male","Yes","0","Graduate","Yes",0.330231281654649,0,0.0657421674370827,0.189189189189189,"Semiurban","Y","1"
"LP001487","Male","No","0","Graduate","No",0.473541079314388,0,0.382126348228043,0.72972972972973,"Semiurban","Y","1"
"LP001488","Male","Yes","3+","Graduate","No",0.384221950550136,1,1,0.72972972972973,"Semiurban","N","1"
"LP001489","Female","Yes","0","Graduate","No",0.442404131633442,0,0.308166409861325,0.72972972972973,"Rural","N","1"
"LP001491","Male","Yes","2","Graduate","Yes",0.315960180634216,0.622222222222222,0.324601951720596,0.72972972972973,"Urban","Y","1"
"LP001492","Male","No","0","Graduate","No",1,0,0.957370313302517,0.72972972972973,"Semiurban","N","0"
"LP001493","Male","Yes","2","Not Graduate","No",0.404181532396896,0.254222222222222,0.49306625577812,0.72972972972973,"Rural","N","1"
"LP001497","Male","Yes","2","Graduate","No",0.488211371971757,0.370311111111111,0.72316384180791,0.72972972972973,"Rural","N","1"
"LP001498","Male","No","0","Graduate","No",0.525635587934433,0,0.653312788906009,0.72972972972973,"Urban","Y","1"
"LP001504","Male","No","0","Graduate","Yes",0.678625782789851,0,0.682074987159733,0.324324324324324,"Semiurban","Y","1"
"LP001507","Male","Yes","0","Graduate","No",0.254285072727726,0.3616,0.464304057524397,0.72972972972973,"Semiurban","Y","1"
"LP001508","Male","Yes","2","Graduate","No",1,0,0.731381612737545,0.324324324324324,"Urban","Y","1"
"LP001514","Female","Yes","0","Graduate","No",0.217559442129687,0.797511111111111,0.373908577298408,0.72972972972973,"Semiurban","Y","1"
"LP001516","Female","Yes","2","Graduate","No",1,0,0.250642013353878,0.72972972972973,"Urban","Y","1"
"LP001518","Male","Yes","1","Graduate","No",0.138519498016517,0.253333333333333,0.086286594761171,0.72972972972973,"Urban","Y","1"
"LP001519","Female","No","0","Graduate","No",0.983009405952945,0.296177777777778,0.887519260400616,0.72972972972973,"Rural","N","1"
"LP001520","Male","Yes","0","Graduate","No",0.470048152491205,0.147555555555556,0.47663071391885,0.72972972972973,"Semiurban","Y","1"
"LP001528","Male","No","0","Graduate","No",0.611461789875502,0,0.447868515665126,0.72972972972973,"Rural","N","0"
"LP001529","Male","Yes","0","Graduate","Yes",0.242209525710436,0.666666666666667,0.587570621468927,0.72972972972973,"Rural","Y","1"
"LP001531","Male","No","0","Graduate","No",0.899777949651955,0,0.965588084232152,0.72972972972973,"Urban","N","1"
"LP001532","Male","Yes","2","Not Graduate","No",0.212669344577231,0,0.427324088341037,0.72972972972973,"Rural","N","1"
"LP001535","Male","No","0","Graduate","No",0.30977271026172,0,0.168464304057524,0.72972972972973,"Urban","Y","1"
"LP001536","Male","Yes","3+","Graduate","No",1,0,1,0.324324324324324,"Semiurban","Y","0"
"LP001543","Male","Yes","1","Graduate","No",0.936902771886929,0,0.731381612737545,0.72972972972973,"Urban","Y","1"
"LP001546","Male","No","0","Graduate","No",0.282428083131658,0.370311111111111,0.456086286594761,0.72972972972973,"Rural","Y","1"
"LP001552","Male","Yes","0","Graduate","No",0.442404131633442,1,1,0.72972972972973,"Semiurban","Y","1"
"LP001560","Male","Yes","0","Not Graduate","No",0.170953818517502,0.185066666666667,0.365690806368772,0.72972972972973,"Semiurban","Y","1"
"LP001562","Male","Yes","0","Graduate","No",0.776727127566677,0,1,0.72972972972973,"Urban","N","1"
"LP001565","Male","Yes","1","Graduate","No",0.293306055238143,0.227555555555556,0.460195172059579,0.72972972972973,"Semiurban","N","0"
"LP001570","Male","Yes","2","Graduate","No",0.400888201392181,0.257244444444444,0.612223934257833,0.72972972972973,"Rural","Y","1"
"LP001572","Male","Yes","0","Graduate","No",0.915446221401662,0,0.271186440677966,0.324324324324324,"Urban","Y","1"
"LP001574","Male","Yes","0","Graduate","No",0.354981163144632,0.562844444444444,0.710837185413457,0.689189189189189,"Rural","Y","1"
"LP001577","Female","Yes","0","Graduate","No",0.442404131633442,0,0.42321520287622,0.72972972972973,"Rural","N","1"
"LP001578","Male","Yes","0","Graduate","No",0.228437414236172,0.592533333333333,0.49306625577812,0.72972972972973,"Rural","Y","1"
"LP001579","Male","No","0","Graduate","No",0.208278236570944,0,0.221879815100154,1,"Semiurban","N","0"
"LP001580","Male","Yes","2","Graduate","No",0.783413587485342,0,0.784797123780175,0.72972972972973,"Semiurban","Y","1"
"LP001581","Male","Yes","0","Not Graduate","No",0.166662508420449,0.314488888888889,0.353364149974319,0.72972972972973,"Rural","Y","1"
"LP001585","Male","Yes","3+","Graduate","No",1,0,1,0.594594594594595,"Urban","Y","1"
"LP001586","Male","Yes","3+","Not Graduate","No",0.336518549936379,0,0.295839753466872,0.324324324324324,"Rural","N","1"
"LP001594","Male","Yes","0","Graduate","No",0.554676779521469,1,0.731381612737545,0.72972972972973,"Semiurban","Y","1"
"LP001603","Male","Yes","0","Not Graduate","Yes",0.418552431326564,0.130844444444444,0.320493066255778,0.72972972972973,"Semiurban","N","1"
"LP001606","Male","Yes","0","Graduate","No",0.334023602205534,0.349155555555556,0.43965074473549,0.72972972972973,"Rural","Y","1"
"LP001608","Male","Yes","2","Graduate","No",0.189117037998054,0.287822222222222,0.378017462763225,0.72972972972973,"Rural","Y","1"
"LP001610","Male","Yes","3+","Graduate","No",0.535515580948579,1,1,0.72972972972973,"Semiurban","N","0"
"LP001616","Male","Yes","1","Graduate","No",0.359272473241686,0,0.43965074473549,0.72972972972973,"Semiurban","Y","1"
"LP001630","Male","No","0","Not Graduate","No",0.217858835857389,0.257955555555556,0.382126348228043,1,"Urban","N","0"
"LP001633","Male","Yes","1","Graduate","No",0.62373693271126,1,0.702619414483821,0.72972972972973,"Urban","N","0"
"LP001636","Male","Yes","0","Graduate","No",0.444100696090417,0,0.262968669748331,0.324324324324324,"Semiurban","Y","1"
"LP001637","Male","Yes","1","Graduate","No",1,0,1,0.72972972972973,"Semiurban","N","1"
"LP001639","Female","Yes","0","Graduate","No",0.34679773458746,0,0.406779661016949,0.72972972972973,"Semiurban","Y","1"
"LP001640","Male","Yes","0","Graduate","Yes",1,0.844444444444444,0.456086286594761,0.72972972972973,"Semiurban","Y","1"
"LP001641","Male","Yes","1","Graduate","Yes",0.20239015992615,0,0.234206471494607,0.594594594594595,"Rural","N","0"
"LP001644","Male","Yes","0","Graduate","Yes",0.052294104438512,0.941511111111111,0.653312788906009,0.72972972972973,"Rural","Y","1"
"LP001647","Male","Yes","0","Graduate","No",0.915945210947831,0,0.735490498202363,0.324324324324324,"Rural","Y","1"
"LP001653","Male","No","0","Not Graduate","No",0.47254310022205,0,0.160246533127889,0.72972972972973,"Rural","Y","1"
"LP001656","Male","No","0","Graduate","No",1,0,0.636877247046739,0.72972972972973,"Semiurban","N","1"
"LP001657","Male","Yes","0","Not Graduate","No",0.587111100022454,0,0.620441705187468,0.72972972972973,"Urban","N","1"
"LP001658","Male","No","0","Graduate","No",0.370050647438936,0,0.275295326142784,0.72972972972973,"Semiurban","Y","1"
"LP001664","Male","No","0","Graduate","No",0.403283351213792,0,0.456086286594761,0.72972972972973,"Rural","Y","1"
"LP001665","Male","Yes","1","Graduate","No",0.29689877997056,0.4592,0.661530559835645,0.72972972972973,"Semiurban","N","1"
"LP001666","Male","No","0","Graduate","No",0.816646291260198,0.666666666666667,0.731381612737545,0.72972972972973,"Rural","Y","1"
"LP001669","Female","No","0","Not Graduate","No",0.175344926523789,0.420444444444444,0.456086286594761,0.689189189189189,"Urban","Y","1"
"LP001673","Male","No","0","Graduate","Yes",1,0,0.304057524396507,0.72972972972973,"Urban","N","1"
"LP001674","Male","Yes","1","Not Graduate","No",0.244504877622814,0.444444444444444,0.332819722650231,0.72972972972973,"Semiurban","Y","1"
"LP001677","Male","No","2","Graduate","No",0.476335420772935,0,0.645095017976374,0.72972972972973,"Semiurban","Y","0"
"LP001682","Male","Yes","3+","Not Graduate","No",0.383423567276266,0,0.564610835797276,0.324324324324324,"Urban","N","1"
